plan_id,plan_name,plan_type,deductible_amount,oop_max,is_active
PLAN-HMO-001,HealthFirst HMO Basic,HMO,1500.00,6000.00,1
PLAN-HMO-002,HealthFirst HMO Plus,HMO,1000.00,4500.00,1
PLAN-HMO-003,CareSelect HMO Standard,HMO,2000.00,7500.00,1
PLAN-HMO-004,Premier HMO Gold,HMO,500.00,3000.00,1
PLAN-HMO-005,Community HMO Value,HMO,2500.00,8000.00,1
PLAN-PPO-001,BluePeak PPO Standard,PPO,2000.00,8000.00,1
PLAN-PPO-002,BluePeak PPO Select,PPO,1500.00,6500.00,1
PLAN-PPO-003,Nationwide PPO Plus,PPO,1000.00,5000.00,1
PLAN-PPO-004,OpenChoice PPO Premier,PPO,750.00,4000.00,1
PLAN-PPO-005,FlexCare PPO Basic,PPO,3000.00,10000.00,1
PLAN-EPO-001,DirectCare EPO Standard,EPO,1500.00,6000.00,1
PLAN-EPO-002,ValuePath EPO Plus,EPO,1000.00,5500.00,1
PLAN-EPO-003,NetAccess EPO Select,EPO,2000.00,7000.00,1
PLAN-EPO-004,SmartPath EPO Basic,EPO,2500.00,8500.00,1
PLAN-EPO-005,ClearChoice EPO Premier,EPO,500.00,3500.00,1
PLAN-HDHP-001,HealthSaver HDHP 2024,HDHP,3000.00,9000.00,1
PLAN-HDHP-002,ClearSaver HDHP Plus,HDHP,2800.00,8500.00,1
PLAN-HDHP-003,SmartSaver HDHP Standard,HDHP,3500.00,10000.00,1
PLAN-HDHP-004,MaxSaver HDHP Bronze,HDHP,4000.00,12000.00,1
PLAN-HDHP-005,FutureSaver HDHP Silver,HDHP,2500.00,7500.00,1
